event_id,period,buys,sells,sentiment
0001093557-24-000197,-5,0,2,-0.4666666355555576
0001093557-24-000197,-4,0,0,-0.4666666355555576
0001093557-24-000197,-3,0,0,-0.4666666355555576
0001093557-24-000197,-2,0,0,-0.4666666355555576
0001093557-24-000197,-1,0,4,-0.4666666355555576
0001093557-24-000197,0,0,0,-0.4666666355555576
0001093557-24-000197,1,0,0,-0.4666666355555576
0001093557-24-000197,2,0,0,-0.4666666355555576
0001093557-24-000197,3,0,0,-0.4666666355555576
0001093557-24-000197,4,0,0,-0.4666666355555576
0001093557-24-000197,5,0,0,-0.4666666355555576
0001093557-24-000197,6,0,0,-0.4666666355555576
0001093557-24-000197,7,0,0,-0.4666666355555576
0001093557-24-000197,8,0,0,-0.4666666355555576
0001094285-24-000099,-8,0,0,-0.15844153806207179
0001094285-24-000099,-7,0,0,-0.15844153806207179
0001094285-24-000099,-6,0,0,-0.15844153806207179
0001094285-24-000099,-5,0,0,-0.15844153806207179
0001094285-24-000099,-4,0,0,-0.15844153806207179
0001094285-24-000099,-3,0,0,-0.15844153806207179
0001094285-24-000099,-2,0,0,-0.15844153806207179
0001094285-24-000099,-1,0,0,-0.15844153806207179
0001094285-24-000099,0,0,0,-0.15844153806207179
0001094285-24-000099,1,0,0,-0.15844153806207179
0001094285-24-000099,2,4,1,-0.15844153806207179
0001094285-24-000099,3,0,0,-0.15844153806207179
0001094285-24-000099,4,0,0,-0.15844153806207179
0001094285-24-000099,5,0,0,-0.15844153806207179
0001094285-24-000099,6,0,1,-0.15844153806207179
0001094285-24-000099,7,0,1,-0.15844153806207179
0001094285-24-000099,8,0,0,-0.15844153806207179
0001096343-24-000127,-8,0,0,0.0
0001096343-24-000127,-7,2,0,0.0
0001096343-24-000127,-6,0,0,0.0
0001096343-24-000127,-5,1,0,0.0
0001096343-24-000127,-4,0,0,0.0
0001096343-24-000127,-3,0,0,0.0
0001096343-24-000127,-2,1,0,0.0
0001096343-24-000127,-1,0,1,0.0
0001096343-24-000127,0,2,0,0.0
0001096343-24-000127,1,0,0,0.0
0001096343-24-000127,2,0,0,0.0
0001096343-24-000127,3,0,6,0.0
0001096343-24-000127,4,1,0,0.0
0001096343-24-000127,5,1,0,0.0
0001096343-24-000127,6,0,0,0.0
0001096343-24-000127,7,0,0,0.0
0001096343-24-000127,8,0,0,0.0
0001096906-24-000119,-8,0,0,-0.6119402893740256
0001096906-24-000119,-7,0,0,-0.6119402893740256
0001096906-24-000119,-6,0,0,-0.6119402893740256
0001096906-24-000119,-5,0,0,-0.6119402893740256
0001096906-24-000119,-4,0,0,-0.6119402893740256
0001096906-24-000119,-3,0,0,-0.6119402893740256
0001096906-24-000119,-2,0,0,-0.6119402893740256
0001096906-24-000119,-1,0,0,-0.6119402893740256
0001096906-24-000119,0,0,0,-0.6119402893740256
0001096906-24-000119,1,0,0,-0.6119402893740256
0001096906-24-000119,2,0,0,-0.6119402893740256
0001096906-24-000119,3,0,0,-0.6119402893740256
0001096906-24-000119,4,0,0,-0.6119402893740256
0001096906-24-000119,5,0,0,-0.6119402893740256
0001096906-24-000119,6,0,0,-0.6119402893740256
0001096906-24-000119,7,0,0,-0.6119402893740256
0001096906-24-000119,8,0,0,-0.6119402893740256
0001096906-24-000127,-8,0,0,0.09601872475579999
0001096906-24-000127,-7,0,0,0.09601872475579999
0001096906-24-000127,-6,0,0,0.09601872475579999
0001096906-24-000127,-5,0,0,0.09601872475579999
0001096906-24-000127,-4,0,0,0.09601872475579999
0001096906-24-000127,-3,0,0,0.09601872475579999
0001096906-24-000127,-2,0,0,0.09601872475579999
0001096906-24-000127,-1,0,0,0.09601872475579999
0001096906-24-000127,0,0,0,0.09601872475579999
0001096906-24-000127,1,0,0,0.09601872475579999
0001096906-24-000127,2,0,0,0.09601872475579999
0001096906-24-000127,3,0,0,0.09601872475579999
0001096906-24-000127,4,0,0,0.09601872475579999
0001096906-24-000127,5,0,0,0.09601872475579999
0001096906-24-000127,6,0,0,0.09601872475579999
0001096906-24-000127,7,0,0,0.09601872475579999
0001096906-24-000127,8,0,0,0.09601872475579999
0001096906-24-000254,-8,0,0,0.999999000001
0001096906-24-000254,-7,0,0,0.999999000001
0001096906-24-000254,-6,0,0,0.999999000001
0001096906-24-000254,-5,0,0,0.999999000001
0001096906-24-000254,-4,0,0,0.999999000001
0001096906-24-000254,-3,0,0,0.999999000001
0001096906-24-000254,-2,0,0,0.999999000001
0001096906-24-000254,-1,0,0,0.999999000001
0001096906-24-000254,0,0,0,0.999999000001
0001096906-24-000254,1,0,0,0.999999000001
0001096906-24-000254,2,0,0,0.999999000001
0001096906-24-000254,3,0,0,0.999999000001
0001096906-24-000254,4,0,0,0.999999000001
0001096906-24-000254,5,0,0,0.999999000001
0001096906-24-000254,6,0,0,0.999999000001
0001096906-24-000254,7,0,0,0.999999000001
0001096906-24-000254,8,0,0,0.999999000001
0001096906-24-000367,-8,0,0,-0.3333332222222592
0001096906-24-000367,-7,0,0,-0.3333332222222592
0001096906-24-000367,-6,0,0,-0.3333332222222592
0001096906-24-000367,-5,0,0,-0.3333332222222592
